Causas (lista reducida);Sexo;Edad;Lugar de residencia;Total
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 40 a 44 años;Otra provincia de la misma Comunidad Autónoma;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 40 a 44 años;Otra Comunidad Autónoma;5
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 40 a 44 años;Extranjero;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 45 a 49 años;Mismo municipio;80
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 45 a 49 años;Otro municipio de la misma provincia;51
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 45 a 49 años;Otra provincia de la misma Comunidad Autónoma;6
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 45 a 49 años;Otra Comunidad Autónoma;6
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 45 a 49 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 50 a 54 años;Mismo municipio;133
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 50 a 54 años;Otro municipio de la misma provincia;88
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 50 a 54 años;Otra provincia de la misma Comunidad Autónoma;5
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 50 a 54 años;Otra Comunidad Autónoma;7
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 50 a 54 años;Extranjero;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 55 a 59 años;Mismo municipio;101
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 55 a 59 años;Otro municipio de la misma provincia;77
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 55 a 59 años;Otra provincia de la misma Comunidad Autónoma;6
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 55 a 59 años;Otra Comunidad Autónoma;9
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 55 a 59 años;Extranjero;7
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 60 a 64 años;Mismo municipio;73
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 60 a 64 años;Otro municipio de la misma provincia;75
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 60 a 64 años;Otra provincia de la misma Comunidad Autónoma;8
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 60 a 64 años;Otra Comunidad Autónoma;6
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 60 a 64 años;Extranjero;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 65 a 69 años;Mismo municipio;110
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 65 a 69 años;Otro municipio de la misma provincia;77
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 65 a 69 años;Otra provincia de la misma Comunidad Autónoma;8
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 65 a 69 años;Otra Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 65 a 69 años;Extranjero;3
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 70 a 74 años;Mismo municipio;133
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 70 a 74 años;Otro municipio de la misma provincia;122
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 70 a 74 años;Otra provincia de la misma Comunidad Autónoma;9
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 70 a 74 años;Otra Comunidad Autónoma;5
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 70 a 74 años;Extranjero;4
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 75 a 79 años;Mismo municipio;177
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 75 a 79 años;Otro municipio de la misma provincia;214
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 75 a 79 años;Otra provincia de la misma Comunidad Autónoma;9
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 75 a 79 años;Otra Comunidad Autónoma;4
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 75 a 79 años;Extranjero;3
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 80 a 84 años;Mismo municipio;289
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 80 a 84 años;Otro municipio de la misma provincia;236
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 80 a 84 años;Otra provincia de la misma Comunidad Autónoma;9
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 80 a 84 años;Otra Comunidad Autónoma;8
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 80 a 84 años;Extranjero;8
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 85 a 89 años;Mismo municipio;306
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 85 a 89 años;Otro municipio de la misma provincia;241
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 85 a 89 años;Otra provincia de la misma Comunidad Autónoma;8
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 85 a 89 años;Otra Comunidad Autónoma;13
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 85 a 89 años;Extranjero;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 90 a 94 años;Mismo municipio;185
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 90 a 94 años;Otro municipio de la misma provincia;125
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 90 a 94 años;Otra provincia de la misma Comunidad Autónoma;7
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 90 a 94 años;Otra Comunidad Autónoma;6
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 90 a 94 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 95 años y más;Mismo municipio;57
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 95 años y más;Otro municipio de la misma provincia;24
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 95 años y más;Otra provincia de la misma Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 95 años y más;Otra Comunidad Autónoma;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 95 años y más;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Menores de 1 año;Mismo municipio;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Menores de 1 año;Otro municipio de la misma provincia;5
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Menores de 1 año;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Menores de 1 año;Otra Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Menores de 1 año;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 1 a 4 años;Mismo municipio;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 1 a 4 años;Otro municipio de la misma provincia;4
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 1 a 4 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 1 a 4 años;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 1 a 4 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 5 a 9 años;Mismo municipio;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 5 a 9 años;Otro municipio de la misma provincia;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 5 a 9 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 5 a 9 años;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 5 a 9 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 10 a 14 años;Mismo municipio;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 10 a 14 años;Otro municipio de la misma provincia;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 10 a 14 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 10 a 14 años;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 10 a 14 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 15 a 19 años;Mismo municipio;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 15 a 19 años;Otro municipio de la misma provincia;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 15 a 19 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 15 a 19 años;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 15 a 19 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 20 a 24 años;Mismo municipio;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 20 a 24 años;Otro municipio de la misma provincia;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 20 a 24 años;Otra provincia de la misma Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 20 a 24 años;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 20 a 24 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 25 a 29 años;Mismo municipio;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 25 a 29 años;Otro municipio de la misma provincia;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 25 a 29 años;Otra provincia de la misma Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 25 a 29 años;Otra Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 25 a 29 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 30 a 34 años;Mismo municipio;7
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 30 a 34 años;Otro municipio de la misma provincia;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 30 a 34 años;Otra provincia de la misma Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 30 a 34 años;Otra Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 30 a 34 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 35 a 39 años;Mismo municipio;9
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 35 a 39 años;Otro municipio de la misma provincia;5
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 35 a 39 años;Otra provincia de la misma Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 35 a 39 años;Otra Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 35 a 39 años;Extranjero;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 40 a 44 años;Mismo municipio;25
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 40 a 44 años;Otro municipio de la misma provincia;12
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 40 a 44 años;Otra provincia de la misma Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 40 a 44 años;Otra Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 40 a 44 años;Extranjero;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 45 a 49 años;Mismo municipio;34
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 45 a 49 años;Otro municipio de la misma provincia;11
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 45 a 49 años;Otra provincia de la misma Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 45 a 49 años;Otra Comunidad Autónoma;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 45 a 49 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 50 a 54 años;Mismo municipio;35
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 50 a 54 años;Otro municipio de la misma provincia;28
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 50 a 54 años;Otra provincia de la misma Comunidad Autónoma;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 50 a 54 años;Otra Comunidad Autónoma;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 50 a 54 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 55 a 59 años;Mismo municipio;43
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 55 a 59 años;Otro municipio de la misma provincia;25
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 55 a 59 años;Otra provincia de la misma Comunidad Autónoma;4
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 55 a 59 años;Otra Comunidad Autónoma;4
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 55 a 59 años;Extranjero;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 60 a 64 años;Mismo municipio;43
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 60 a 64 años;Otro municipio de la misma provincia;30
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 60 a 64 años;Otra provincia de la misma Comunidad Autónoma;4
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 60 a 64 años;Otra Comunidad Autónoma;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 60 a 64 años;Extranjero;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 65 a 69 años;Mismo municipio;61
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 65 a 69 años;Otro municipio de la misma provincia;57
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 65 a 69 años;Otra provincia de la misma Comunidad Autónoma;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 65 a 69 años;Otra Comunidad Autónoma;4
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 65 a 69 años;Extranjero;4
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 70 a 74 años;Mismo municipio;95
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 70 a 74 años;Otro municipio de la misma provincia;97
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 70 a 74 años;Otra provincia de la misma Comunidad Autónoma;5
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 70 a 74 años;Otra Comunidad Autónoma;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 70 a 74 años;Extranjero;4
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 75 a 79 años;Mismo municipio;173
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 75 a 79 años;Otro municipio de la misma provincia;165
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 75 a 79 años;Otra provincia de la misma Comunidad Autónoma;8
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 75 a 79 años;Otra Comunidad Autónoma;6
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 75 a 79 años;Extranjero;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 80 a 84 años;Mismo municipio;371
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 80 a 84 años;Otro municipio de la misma provincia;308
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 80 a 84 años;Otra provincia de la misma Comunidad Autónoma;20
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 80 a 84 años;Otra Comunidad Autónoma;9
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 80 a 84 años;Extranjero;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 85 a 89 años;Mismo municipio;535
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 85 a 89 años;Otro municipio de la misma provincia;373
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 85 a 89 años;Otra provincia de la misma Comunidad Autónoma;16
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 85 a 89 años;Otra Comunidad Autónoma;12
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 85 a 89 años;Extranjero;0
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 90 a 94 años;Mismo municipio;411
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 90 a 94 años;Otro municipio de la misma provincia;285
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 90 a 94 años;Otra provincia de la misma Comunidad Autónoma;8
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 90 a 94 años;Otra Comunidad Autónoma;16
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 90 a 94 años;Extranjero;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 95 años y más;Mismo municipio;188
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 95 años y más;Otro municipio de la misma provincia;95
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 95 años y más;Otra provincia de la misma Comunidad Autónoma;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 95 años y más;Otra Comunidad Autónoma;2
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 95 años y más;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;Menores de 1 año;Mismo municipio;2
001 Enfermedades infecciosas intestinales;Hombres;Menores de 1 año;Otro municipio de la misma provincia;0
001 Enfermedades infecciosas intestinales;Hombres;Menores de 1 año;Otra provincia de la misma Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;Menores de 1 año;Otra Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;Menores de 1 año;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;De 1 a 4 años;Mismo municipio;0
001 Enfermedades infecciosas intestinales;Hombres;De 1 a 4 años;Otro municipio de la misma provincia;0
001 Enfermedades infecciosas intestinales;Hombres;De 1 a 4 años;Otra provincia de la misma Comunidad Autónoma;1
001 Enfermedades infecciosas intestinales;Hombres;De 1 a 4 años;Otra Comunidad Autónoma;1
001 Enfermedades infecciosas intestinales;Hombres;De 1 a 4 años;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;De 5 a 9 años;Mismo municipio;0
001 Enfermedades infecciosas intestinales;Hombres;De 5 a 9 años;Otro municipio de la misma provincia;1
001 Enfermedades infecciosas intestinales;Hombres;De 5 a 9 años;Otra provincia de la misma Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 5 a 9 años;Otra Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 5 a 9 años;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;De 10 a 14 años;Mismo municipio;0
001 Enfermedades infecciosas intestinales;Hombres;De 10 a 14 años;Otro municipio de la misma provincia;0
001 Enfermedades infecciosas intestinales;Hombres;De 10 a 14 años;Otra provincia de la misma Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 10 a 14 años;Otra Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 10 a 14 años;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;De 15 a 19 años;Mismo municipio;0
001 Enfermedades infecciosas intestinales;Hombres;De 15 a 19 años;Otro municipio de la misma provincia;0
001 Enfermedades infecciosas intestinales;Hombres;De 15 a 19 años;Otra provincia de la misma Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 15 a 19 años;Otra Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 15 a 19 años;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;De 20 a 24 años;Mismo municipio;0
001 Enfermedades infecciosas intestinales;Hombres;De 20 a 24 años;Otro municipio de la misma provincia;0
001 Enfermedades infecciosas intestinales;Hombres;De 20 a 24 años;Otra provincia de la misma Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 20 a 24 años;Otra Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 20 a 24 años;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;De 25 a 29 años;Mismo municipio;1
001 Enfermedades infecciosas intestinales;Hombres;De 25 a 29 años;Otro municipio de la misma provincia;1
001 Enfermedades infecciosas intestinales;Hombres;De 25 a 29 años;Otra provincia de la misma Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 25 a 29 años;Otra Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 25 a 29 años;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;De 30 a 34 años;Mismo municipio;0
001 Enfermedades infecciosas intestinales;Hombres;De 30 a 34 años;Otro municipio de la misma provincia;0
001 Enfermedades infecciosas intestinales;Hombres;De 30 a 34 años;Otra provincia de la misma Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 30 a 34 años;Otra Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 30 a 34 años;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;De 35 a 39 años;Mismo municipio;1
001 Enfermedades infecciosas intestinales;Hombres;De 35 a 39 años;Otro municipio de la misma provincia;0
001 Enfermedades infecciosas intestinales;Hombres;De 35 a 39 años;Otra provincia de la misma Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 35 a 39 años;Otra Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 35 a 39 años;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;De 40 a 44 años;Mismo municipio;0
001 Enfermedades infecciosas intestinales;Hombres;De 40 a 44 años;Otro municipio de la misma provincia;0
001 Enfermedades infecciosas intestinales;Hombres;De 40 a 44 años;Otra provincia de la misma Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 40 a 44 años;Otra Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 40 a 44 años;Extranjero;0
001 Enfermedades infecciosas intestinales;Hombres;De 45 a 49 años;Mismo municipio;1
001 Enfermedades infecciosas intestinales;Hombres;De 45 a 49 años;Otro municipio de la misma provincia;1
001 Enfermedades infecciosas intestinales;Hombres;De 45 a 49 años;Otra provincia de la misma Comunidad Autónoma;0
001 Enfermedades infecciosas intestinales;Hombres;De 45 a 49 años;Otra Comunidad Autónoma;0
